number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_weight_decay,state
116,0.6337506483544346,2024-04-18 15:32:03.678209,2024-04-18 15:32:54.843373,0 days 00:00:51.165164,48,0.0002458457892590509,0.019474506319535335,COMPLETE
117,0.6337506483544346,2024-04-18 15:32:54.844139,2024-04-18 15:33:46.523480,0 days 00:00:51.679341,48,0.0003821025393319165,0.009468296608987226,COMPLETE
118,0.6337506483544346,2024-04-18 15:33:46.524378,2024-04-18 15:34:38.949162,0 days 00:00:52.424784,48,6.684427127304366e-05,0.01182038561124387,COMPLETE
119,0.6337506483544346,2024-04-18 15:34:38.949950,2024-04-18 15:35:30.253859,0 days 00:00:51.303909,48,4.24900062681684e-05,0.04608317813827058,COMPLETE
120,0.6349892230612216,2024-04-18 15:35:30.254654,2024-04-18 15:36:21.876446,0 days 00:00:51.621792,48,0.00014980394784981036,0.029065951623322407,COMPLETE
121,0.6360747953663061,2024-04-18 15:36:21.877283,2024-04-18 15:37:13.209042,0 days 00:00:51.331759,48,0.00017000357303419158,0.048135833588913705,COMPLETE
122,0.6360747953663061,2024-04-18 15:37:13.209797,2024-04-18 15:38:04.378637,0 days 00:00:51.168840,48,0.0004975213893079225,0.04402429895832366,COMPLETE
123,0.6393803715712006,2024-04-18 15:38:04.379432,2024-04-18 15:38:55.609854,0 days 00:00:51.230422,48,0.0002892584416168555,0.013705991034320608,COMPLETE
124,0.6415990144839936,2024-04-18 15:38:55.610559,2024-04-18 15:39:47.077998,0 days 00:00:51.467439,48,0.0002893520095548513,0.014344387480828554,COMPLETE
125,0.6415990144839936,2024-04-18 15:39:47.078788,2024-04-18 15:40:39.735445,0 days 00:00:52.656657,48,0.0002728203987278454,0.013583362325457427,COMPLETE
126,0.6415990144839936,2024-04-18 15:40:39.736260,2024-04-18 15:41:30.918735,0 days 00:00:51.182475,48,0.00028190599901299455,0.014586661474841639,COMPLETE
127,0.6415990144839936,2024-04-18 15:41:30.919466,2024-04-18 15:42:22.296398,0 days 00:00:51.376932,48,0.0002666120093929722,0.013791769855405719,COMPLETE
128,0.6415990144839936,2024-04-18 15:42:22.297182,2024-04-18 15:43:13.712531,0 days 00:00:51.415349,48,0.0003882975265260163,0.015217948513766743,COMPLETE
129,0.6415990144839936,2024-04-18 15:43:13.713361,2024-04-18 15:44:04.766591,0 days 00:00:51.053230,48,0.00025541637214077795,0.01474769992636504,COMPLETE
130,0.6415990144839936,2024-04-18 15:44:04.767339,2024-04-18 15:44:56.034533,0 days 00:00:51.267194,48,0.0002532011276287035,0.015510792130648701,COMPLETE
131,0.6415990144839936,2024-04-18 15:44:56.035323,2024-04-18 15:45:47.348518,0 days 00:00:51.313195,48,0.00024758096875287394,0.01484422659940304,COMPLETE
132,0.6415990144839936,2024-04-18 15:45:47.349320,2024-04-18 15:46:40.261517,0 days 00:00:52.912197,48,0.0003873365027402091,0.013556567864766948,COMPLETE
133,0.6415990144839936,2024-04-18 15:46:40.262362,2024-04-18 15:47:31.462831,0 days 00:00:51.200469,48,0.00026691092295595367,0.017052451643833594,COMPLETE
134,0.6415990144839936,2024-04-18 15:47:31.463655,2024-04-18 15:48:22.899876,0 days 00:00:51.436221,48,0.0003256147611427359,0.015935110862396885,COMPLETE
135,0.6415990144839936,2024-04-18 15:48:22.900484,2024-04-18 15:49:14.305945,0 days 00:00:51.405461,48,0.0002123286760063866,0.015692405494392554,COMPLETE
136,0.6415990144839936,2024-04-18 15:49:14.306775,2024-04-18 15:50:05.389165,0 days 00:00:51.082390,48,0.0004328040628144361,0.012713306625575672,COMPLETE
